place	rn	year of birth	gname-r	gname
Solihull	794.00	1600.00	dorothie	Dorothy
Solihull	795.00	1600.00	Margarette	Margaret
Solihull	796.00	1600.00	margarette	Margaret
Solihull	797.00	1600.00	Katherine	Katherin
Solihull	798.00	1600.00	Joane	Joan
Solihull	799.00	1600.00	Joice	Joyce
Solihull	800.00	1600.00	Joane	Joan
Solihull	801.00	1600.00	Anne	Ann
Solihull	802.00	1600.00	Elizabeth	Elizabet
Solihull	803.00	1600.00	Jane	Jane
Solihull	804.00	1600.00	Margarette	Margaret
Solihull	805.00	1600.00	Anne	Ann
Solihull	806.00	1600.00	Margarette	Margaret
Solihull	807.00	1600.00	Margarette	Margaret
Solihull	808.00	1600.00	Sybell	Sybil
Solihull	809.00	1601.00	Marie	Mary
Solihull	810.00	1601.00	margarette	Margaret
Solihull	811.00	1601.00	Margarette	Margaret
Solihull	812.00	1601.00	Marie	Mary
Solihull	813.00	1601.00	Frannces	Frances
Solihull	814.00	1601.00	katerine	Katherin
Solihull	815.00	1601.00	Elionar	Ellenor
Solihull	816.00	1601.00	Alice	Alice
Solihull	817.00	1601.00	Marie	Mary
Solihull	818.00	1601.00	Jane	Jane
Solihull	819.00	1601.00	Alice	Alice
Solihull	820.00	1601.00	Elizabeth	Elizabet
Solihull	821.00	1601.00	Ursula	Ursula
Solihull	822.00	1601.00	Joanna	Joan
Solihull	823.00	1601.00	Alice	Alice
Solihull	824.00	1601.00	Alice	Alice
Solihull	825.00	1601.00	marie	Mary
Solihull	826.00	1601.00	Ursula	Ursula
Solihull	827.00	1602.00	Isabell	Isabella
Solihull	828.00	1602.00	Anna	Ann
Solihull	829.00	1602.00	Elizabeth	Elizabet
Solihull	830.00	1602.00	Anne	Ann
Solihull	831.00	1602.00	jane	Jane
Solihull	832.00	1602.00	Marie	Mary
Solihull	833.00	1602.00	Elizabeth	Elizabet
Solihull	834.00	1602.00	Lucie	Lucy
Solihull	835.00	1602.00	Anne	Ann
Solihull	836.00	1602.00	Elizabeth	Elizabet
Solihull	837.00	1602.00	Katherine	Katherin
Solihull	838.00	1602.00	Abigail	Abigail
Solihull	839.00	1603.00	Jone	Joan
Solihull	840.00	1603.00	dorothie	Dorothy
Solihull	841.00	1603.00	Katherine	Katherin
Solihull	842.00	1603.00	Ann	Ann
Solihull	843.00	1603.00	Elizabeth	Elizabet
Solihull	844.00	1603.00	Elizabeth	Elizabet
Solihull	845.00	1603.00	Marie	Mary
Solihull	846.00	1603.00	Joane	Joan
Solihull	847.00	1603.00	Katherine	Katherin
Solihull	848.00	1603.00	Elizabeth	Elizabet
Solihull	849.00	1603.00	Katherine	Katherin
Solihull	850.00	1603.00	Alice	Alice
Solihull	851.00	1603.00	Isabell	Isabella
Solihull	852.00	1603.00	Susanna	Susan
Solihull	853.00	1603.00	Dorothea	Dorothy
Solihull	854.00	1603.00	JOne	Joan
Solihull	855.00	1603.00	Joan	Joan
Solihull	856.00	1603.00	Margarette	Margaret
Solihull	857.00	1603.00	Elizabeth	Elizabet
Solihull	858.00	1603.00	Elizabeth	Elizabet
Solihull	859.00	1603.00	Elizabeth	Elizabet
Stratford	1298.00	1600.00	Grace	Grace
Stratford	1299.00	1600.00	Ellen	Ellen
Stratford	1300.00	1600.00	elizabeth	Elizabet
Stratford	1301.00	1600.00	Maria	Mary
Stratford	1302.00	1600.00	Jone	Joan
Stratford	1303.00	1600.00	Jone	Joan
Stratford	1304.00	1600.00	Alicia	Alice
Stratford	1305.00	1600.00	Alicia	Alice
Stratford	1306.00	1600.00	Annes	Ann
Stratford	1307.00	1600.00	Jeys	Joyce
Stratford	1308.00	1600.00	Ane	Ann
Stratford	1309.00	1600.00	Ana	Ann
Stratford	1310.00	1600.00	Ellner	Ellenor
Stratford	1311.00	1600.00	Ana	Ann
Stratford	1312.00	1600.00	Maria	Mary
Stratford	1313.00	1600.00	Dorothea	Dorothy
Stratford	1314.00	1600.00	Ales	Alice
Stratford	1315.00	1600.00	elizabeth	Elizabet
Stratford	1316.00	1600.00	Ales	Alice
Stratford	1317.00	1600.00	Margerye	Margaret
Stratford	1318.00	1600.00	Ursula	Ursula
Stratford	1319.00	1600.00	Hester	Esther
Stratford	1320.00	1600.00	Anna	Ann
